Strategy 1,Strategy 2,winner,# cards played,wars
2,1,2,267,27
2,1,1,398,28
2,1,1,357,21
2,1,1,226,20
2,1,1,136,14
2,1,1,675,45
2,1,1,114,4
2,1,1,104,8
2,1,1,86,6
2,1,1,154,12
2,1,1,64,8
2,1,1,21,5
2,1,1,92,10
2,1,1,42,6
2,1,1,438,34
2,1,1,144,14
2,1,1,272,18
2,1,2,138,6
2,1,2,348,22
2,1,2,443,35
2,1,1,175,15
2,1,1,170,20
2,1,1,184,18
2,1,1,160,6
2,1,1,246,24
2,1,2,314,30
2,1,1,74,8
2,1,1,229,11
2,1,1,165,17
2,1,1,53,5
2,1,1,88,6
2,1,1,274,20
2,1,2,501,33
2,1,1,62,4
2,1,1,369,25
2,1,1,68,4
2,1,1,39,5
2,1,1,385,31
2,1,2,103,9
2,1,1,428,36
2,1,1,134,16
2,1,1,265,15
2,1,1,289,15
2,1,1,150,18
2,1,2,56,4
2,1,1,455,37
2,1,1,240,18
2,1,1,114,10
2,1,2,88,11
2,1,1,194,18
2,1,1,53,5
2,1,2,296,18
2,1,1,173,19
2,1,1,71,9
2,1,1,94,8
2,1,1,288,30
2,1,1,415,23
2,1,1,123,7
2,1,2,275,18
2,1,1,147,15
2,1,1,85,9
2,1,1,107,9
2,1,2,152,14
2,1,1,76,6
2,1,1,284,22
2,1,1,234,16
2,1,1,73,7
2,1,2,146,8
2,1,1,149,11
2,2,2,557,35
2,2,1,235,17
2,2,2,179,17
2,2,1,161,11
2,2,2,79,3
2,2,2,113,7
2,2,1,96,6
2,2,2,206,19
2,2,1,639,43
2,2,2,173,17
2,2,2,67,3
2,2,1,77,9
2,2,1,154,12
2,2,1,315,23
2,2,2,157,9
2,2,2,173,13
2,2,1,477,29
2,2,2,132,10
2,2,1,303,19
2,2,2,131,11
2,2,1,59,3
2,2,2,64,6
2,2,2,212,16
2,2,2,38,2
2,2,1,33,5
2,2,2,431,33
2,2,1,53,5
2,2,1,223,27
2,2,1,38,4
2,2,2,219,25
2,2,2,630,38
2,2,2,94,6
